neighbourhood,month,year,count
West Humber-Clairville,January,2000,0
Mount Olive-Silverstone-Jamestown,January,2000,0
Thistletown-Beaumond Heights,January,2000,2
Rexdale-Kipling,January,2000,2
Elms-Old Rexdale,January,2000,3
Kingsview Village-The Westway,January,2000,1
Willowridge-Martingrove-Richview,January,2000,2
Humber Heights-Westmount,January,2000,2
Edenbridge-Humber Valley,January,2000,3
Princess-Rosethorn,January,2000,2
Eringate-Centennial-West DeaneMarkland Wood,January,2000,2
Etobicoke West Mall,January,2000,0
Islington-City Centre West,January,2000,2
Kingsway South,January,2000,3
Stonegate-Queensway,January,2000,3
Mimico,January,2000,0
New Toronto,January,2000,0
Long Branch,January,2000,0
Alderwood,January,2000,3
Humber Summit,January,2000,3
Humbermede,January,2000,1
Pelmo Park-Humberlea,January,2000,3
Black Creek,January,2000,2
Glenfield-Jane Heights,January,2000,3
Downsview-Roding-CFB,January,2000,3
York University Heights,January,2000,1
Rustic,January,2000,0
Maple Leaf,January,2000,1
Brookhaven-Amesbury,January,2000,0
Yorkdale-Glen Park,January,2000,0
Englemount-Lawrence,January,2000,1
Clanton Park,January,2000,3
Bathurst Manor,January,2000,1
Westminster-Branson,January,2000,1
Newtonbrook West,January,2000,3
Willowdale West,January,2000,3
Lansing-Westgate,January,2000,3
Bedford Park-Nortown,January,2000,1
St.Andrew-Windfields,January,2000,1
Bridle Path-Sunnybrook-York Mills,January,2000,0
Banbury-Don Mills,January,2000,3
Victoria Village,January,2000,1
Flemingdon Park,January,2000,0
Parkwoods-Donalda,January,2000,0
Pleasant View,January,2000,2
Don Valley Village,January,2000,1
Hillcrest Village,January,2000,2
Bayview Woods-Steeles,January,2000,2
Newtonbrook East,January,2000,3
Willowdale East,January,2000,3
Bayview Village,January,2000,2
Henry Farm,January,2000,3
O'Connor-Parkview,January,2000,2
Thorncliffe Park,January,2000,2
Leaside-Bennington,January,2000,2
Broadview North,January,2000,2
Old East York,January,2000,1
Danforth-East York,January,2000,1
Woodbine-Lumsden,January,2000,0
Taylor-Massey,January,2000,1
East End-Danforth,January,2000,2
The Beaches,January,2000,0
Woodbine Corridor,January,2000,0
Greenwood-Coxwell,January,2000,0
Danforth,January,2000,3
Playter Estates-Danforth,January,2000,2
North Riverdale,January,2000,0
Blake-Jones,January,2000,3
South Riverdale,January,2000,1
Cabbagetown-South St.James Town,January,2000,3
Regent Park,January,2000,1
Moss Park,January,2000,1
North St.James Town,January,2000,2
Church-Yonge Corridor,January,2000,1
Bay Street Corridor,January,2000,3
Waterfront Communities-The Island,January,2000,3
Kensington-Chinatown,January,2000,2
University,January,2000,2
Palmerston-Little Italy,January,2000,0
Trinity-Bellwoods,January,2000,1
Niagara,January,2000,1
Dufferin Grove,January,2000,3
Little Portugal,January,2000,3
South Parkdale,January,2000,3
Roncesvalles,January,2000,2
High Park-Swansea,January,2000,2
High Park North,January,2000,1
Runnymede-Bloor West VillageJunction Area,January,2000,3
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,January,2000,3
Annex,January,2000,1
Casa Loma,January,2000,3
Yonge-St.Clair,January,2000,3
Rosedale-Moore Park,January,2000,2
Mount Pleasant East,January,2000,2
Yonge-Eglinton,January,2000,1
Forest Hill South,January,2000,2
Forest Hill North,January,2000,0
Lawrence Park South,January,2000,3
Mount Pleasant West,January,2000,2
Lawrence Park North,January,2000,2
Humewood-Cedarvale,January,2000,0
Oakwood Village,January,2000,0
Briar Hill-Belgravia,January,2000,1
Caledonia-Fairbank,January,2000,3
Keelesdale-Eglinton West,January,2000,3
Rockcliffe-Smythe,January,2000,1
Beechborough-Greenbrook,January,2000,2
Weston,January,2000,2
Lambton Baby Point,January,2000,3
Mount Dennis,January,2000,3
Steeles,January,2000,2
L'Amoreaux,January,2000,0
Tam O'Shanter-Sullivan,January,2000,3
Wexford/Maryvale,January,2000,0
Clairlea-Birchmount,January,2000,2
Oakridge,January,2000,2
Birchcliffe-Cliffside,January,2000,2
Cliffcrest,January,2000,2
Kennedy Park,January,2000,3
Ionview,January,2000,0
Dorset Park,January,2000,1
Bendale,January,2000,3
Agincourt South-Malvern West,January,2000,3
Agincourt North,January,2000,0
Milliken,January,2000,1
Rouge,January,2000,1
Malvern,January,2000,2
Centennial Scarborough,January,2000,1
Highland Creek,January,2000,3
Morningside,January,2000,2
West Humber-Clairville,February,2000,1
Mount Olive-Silverstone-Jamestown,February,2000,1
Thistletown-Beaumond Heights,February,2000,3
Rexdale-Kipling,February,2000,3
Elms-Old Rexdale,February,2000,1
Kingsview Village-The Westway,February,2000,1
Willowridge-Martingrove-Richview,February,2000,2
Humber Heights-Westmount,February,2000,1
Edenbridge-Humber Valley,February,2000,1
Princess-Rosethorn,February,2000,0
Eringate-Centennial-West DeaneMarkland Wood,February,2000,3
Etobicoke West Mall,February,2000,0
Islington-City Centre West,February,2000,3
Kingsway South,February,2000,2
Stonegate-Queensway,February,2000,3
Mimico,February,2000,3
New Toronto,February,2000,3
Long Branch,February,2000,3
Alderwood,February,2000,0
Humber Summit,February,2000,0
Humbermede,February,2000,2
Pelmo Park-Humberlea,February,2000,1
Black Creek,February,2000,1
Glenfield-Jane Heights,February,2000,0
Downsview-Roding-CFB,February,2000,3
York University Heights,February,2000,3
Rustic,February,2000,2
Maple Leaf,February,2000,3
Brookhaven-Amesbury,February,2000,3
Yorkdale-Glen Park,February,2000,0
Englemount-Lawrence,February,2000,3
Clanton Park,February,2000,1
Bathurst Manor,February,2000,0
Westminster-Branson,February,2000,1
Newtonbrook West,February,2000,1
Willowdale West,February,2000,2
Lansing-Westgate,February,2000,1
Bedford Park-Nortown,February,2000,2
St.Andrew-Windfields,February,2000,2
Bridle Path-Sunnybrook-York Mills,February,2000,3
Banbury-Don Mills,February,2000,3
Victoria Village,February,2000,2
Flemingdon Park,February,2000,1
Parkwoods-Donalda,February,2000,2
Pleasant View,February,2000,3
Don Valley Village,February,2000,0
Hillcrest Village,February,2000,0
Bayview Woods-Steeles,February,2000,2
Newtonbrook East,February,2000,1
Willowdale East,February,2000,0
Bayview Village,February,2000,3
Henry Farm,February,2000,1
O'Connor-Parkview,February,2000,3
Thorncliffe Park,February,2000,0
Leaside-Bennington,February,2000,0
Broadview North,February,2000,3
Old East York,February,2000,1
Danforth-East York,February,2000,3
Woodbine-Lumsden,February,2000,3
Taylor-Massey,February,2000,1
East End-Danforth,February,2000,2
The Beaches,February,2000,0
Woodbine Corridor,February,2000,0
Greenwood-Coxwell,February,2000,1
Danforth,February,2000,3
Playter Estates-Danforth,February,2000,0
North Riverdale,February,2000,2
Blake-Jones,February,2000,0
South Riverdale,February,2000,2
Cabbagetown-South St.James Town,February,2000,1
Regent Park,February,2000,3
Moss Park,February,2000,2
North St.James Town,February,2000,0
Church-Yonge Corridor,February,2000,0
Bay Street Corridor,February,2000,3
Waterfront Communities-The Island,February,2000,2
Kensington-Chinatown,February,2000,3
University,February,2000,1
Palmerston-Little Italy,February,2000,0
Trinity-Bellwoods,February,2000,1
Niagara,February,2000,3
Dufferin Grove,February,2000,1
Little Portugal,February,2000,0
South Parkdale,February,2000,0
Roncesvalles,February,2000,0
High Park-Swansea,February,2000,2
High Park North,February,2000,3
Runnymede-Bloor West VillageJunction Area,February,2000,0
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,February,2000,2
Annex,February,2000,3
Casa Loma,February,2000,1
Yonge-St.Clair,February,2000,1
Rosedale-Moore Park,February,2000,2
Mount Pleasant East,February,2000,0
Yonge-Eglinton,February,2000,3
Forest Hill South,February,2000,1
Forest Hill North,February,2000,0
Lawrence Park South,February,2000,0
Mount Pleasant West,February,2000,1
Lawrence Park North,February,2000,1
Humewood-Cedarvale,February,2000,2
Oakwood Village,February,2000,0
Briar Hill-Belgravia,February,2000,2
Caledonia-Fairbank,February,2000,1
Keelesdale-Eglinton West,February,2000,1
Rockcliffe-Smythe,February,2000,0
Beechborough-Greenbrook,February,2000,1
Weston,February,2000,3
Lambton Baby Point,February,2000,3
Mount Dennis,February,2000,1
Steeles,February,2000,1
L'Amoreaux,February,2000,0
Tam O'Shanter-Sullivan,February,2000,0
Wexford/Maryvale,February,2000,3
Clairlea-Birchmount,February,2000,1
Oakridge,February,2000,2
